title,source,lang,url,date,summary,category,credibility
كارلسكرونا10:4521-03Osters IF,Hesport,ar,https://www.hesport.com/sports/match/%d9%83%d8%a7%d8%b1%d9%84%d8%b3%d9%83%d8%b1%d9%88%d9%86%d8%a7-vs-osters-if-10023851,10:45,,Autre,0
أوديفولد11:0021-03Utsikten,Hesport,ar,https://www.hesport.com/sports/match/%d8%a3%d9%88%d8%af%d9%8a%d9%81%d9%88%d9%84%d8%af-vs-utsikten-10022963,11:00,,Autre,0
IK brage11:0021-03gefle IF,Hesport,ar,https://www.hesport.com/sports/match/ik-brage-vs-gefle-if-10024405,11:00,,Autre,0
AC Oulu11:0021-03SJK Akatemia,Hesport,ar,https://www.hesport.com/sports/match/ac-oulu-vs-sjk-akatemia-10026944,11:00,,Autre,0
HJK helsinki11:0021-03سيناجوكي,Hesport,ar,https://www.hesport.com/sports/match/hjk-helsinki-vs-%d8%b3%d9%8a%d9%86%d8%a7%d8%ac%d9%88%d9%83%d9%8a-10026946,11:00,,Autre,0
أوسانه11:3021-03hodd,Hesport,ar,https://www.hesport.com/sports/match/%d8%a3%d9%88%d8%b3%d8%a7%d9%86%d9%87-vs-hodd-10023850,11:30,,Autre,0
هلسنبورج12:0021-03trelleborgs FF,Hesport,ar,https://www.hesport.com/sports/match/%d9%87%d9%84%d8%b3%d9%86%d8%a8%d9%88%d8%b1%d8%ac-vs-trelleborgs-ff-10022961,12:00,,Autre,0
سوندال12:0021-03راوفوس,Hesport,ar,https://www.hesport.com/sports/match/%d8%b3%d9%88%d9%86%d8%af%d8%a7%d9%84-vs-%d8%b1%d8%a7%d9%88%d9%81%d9%88%d8%b3-10022964,12:00,,Autre,0
Varbergs BoIS FC12:0021-03يونكوبينجز,Hesport,ar,https://www.hesport.com/sports/match/varbergs-bois-fc-vs-%d9%8a%d9%88%d9%86%d9%83%d9%88%d8%a8%d9%8a%d9%86%d8%ac%d8%b2-10022965,12:00,,Autre,0
Tvååker12:0021-03Torslanda,Hesport,ar,https://www.hesport.com/sports/match/tvaaker-vs-torslanda-10022966,12:00,,Autre,0
Olympic12:0021-03Lindome,Hesport,ar,https://www.hesport.com/sports/match/olympic-vs-lindome-10022967,12:00,,Autre,0
Laholm12:0021-03Torns,Hesport,ar,https://www.hesport.com/sports/match/laholm-vs-torns-10022968,12:00,,Autre,0
IFK Trelleborg12:0021-03Rosengård,Hesport,ar,https://www.hesport.com/sports/match/ifk-trelleborg-vs-rosengard-10022969,12:00,,Autre,0
Ariana12:0021-03Åstorp,Hesport,ar,https://www.hesport.com/sports/match/ariana-vs-astorp-10022970,12:00,,Autre,0
Kooteepee12:0021-03يوفاسكولا,Hesport,ar,https://www.hesport.com/sports/match/kooteepee-vs-%d9%8a%d9%88%d9%81%d8%a7%d8%b3%d9%83%d9%88%d9%84%d8%a7-10023129,12:00,,Autre,0
IF Elfsborg12:0021-03Mjallby AIF,Hesport,ar,https://www.hesport.com/sports/match/if-elfsborg-vs-mjallby-aif-10024065,12:00,,Autre,0
Eskilsminne12:0021-03كريستيان ستادس,Hesport,ar,https://www.hesport.com/sports/match/eskilsminne-vs-%d9%83%d8%b1%d9%8a%d8%b3%d8%aa%d9%8a%d8%a7%d9%86-%d8%b3%d8%aa%d8%a7%d8%af%d8%b3-10024406,12:00,,Autre,0
